Date,Title,Get
2023-10-04,預測錯誤時,<p>今日股價突然上漲，和預測不同，仔細看，看中的股票都沒漲多少？！</p><p>人性：</p><p>1. 賣掉後，不會想用更貴的價錢買進。</p><p>2. 一檔股票買進後，谷底加碼到資金的 10% 很OK，但&nbsp;20% 就有些多了，不要任意加碼，會有力不從心的感覺。</p><p>結論：</p><p>1. 一張 3 萬以下的股票買整張，3 萬以上，只買零股。</p><p>2. 若確定趨勢向上，股票可以放到第二次上漲再賣，不過，目前向下，賺了錢，就趕快跑，落袋為安。</p><p>3. 情緒不佳時，先調整情緒，做一些不同的事，比如和老婆去吃早餐。</p>
2023-10-05,心情不好,<p>心情不明原因的低落，我想主要是有人用手機對我拍照。</p><p>其實，明星或名人，也很多人在拍，沒必要生氣，就當自己是明星吧！雖然完全不是，唉！</p>
2023-10-06,雙十連休4日,<p>雙十連休4日，主要任務為完成股票分群介面。</p><p>1. 分個人池，下跌池，備選池，上漲池。</p><p>2. 目前人池已完成，設定檔再加上下跌池，備選池，上漲池即可。</p><p>3. 每個池要指定一個股票的檔案。</p><p>4. 每檔股票要有相關資訊：市值排名，簡介，網路介紹。</p><p>5. 要增加cheap和expensive橫線。</p>
2023-10-10,心平氣和,<p>1. 3 萬元以下的股票買整張，3 萬以上，買零股。</p><p>2. 若確定趨勢向上，股票可以放到高點再賣，不過，目前趨勢向下，賺了錢，就趕快跑，落袋為安。</p><p>3. 情緒不佳時，先調整情緒，做些不同的事，比如和老婆吃早餐。</p>
2023-10-11,股市大漲 177 點,<p>優化部份：</p><p>0. 觀察池多一個[分類設定]功能：上漲池，下跌池和備選池功能。</p><p>1. 下載時，已更新的股票資訊不齊。</p><p>2. getdata 似乎有點問題。</p><p>3. 上漲池，備選池和下跌池的內容尚未完成。</p><p>今日股市大漲 177 點，明天應該也會漲，要再看一下今日尾盤情況！</p><p>目前長興可以用 28.85 慢慢賣！28.85，100股賺 2&nbsp;元！！！！！！</p><p>成本價 28.72</p><p>賣出價 28.85</p><p>手續費：成交金額＊股數＊0.1425％（電子下單目前3.5折以0.498/1000計），不足20元以20元計收，買進及賣出各計算一次。（註：當日單筆折讓，小數點以下無條件捨去）</p><p>100 股買入手續費 2872*0.00498=1</p><p>100 股賣出手續費 2885*0.00498=1</p><p>100 股證交稅 2885*0.003=9</p><p>賣出賺 0.13*100 - 11=2 元</p><p>唉！。。。。。</p>
2023-10-16,除權息資料快完成,<p>加油！</p>
2023-10-17,要來完成移至。。。功能,<p>加油！</p><p>已完成，但，需頁面重整，要改用 js 對頁面進行調整。</p>
2023-10-18,"""比較太多""不好。。。",<p>本來，一天賺幾百元就很開心，今天賺了 2000 元，應該超開心？！</p><p>是啊！是啊！</p><p>滑著手機，不小心看到的同事，突然想到，她一天就有 2000 元的薪水，心理突然不平衡，</p><p>股市研究了老半天，僥倖才能賺&nbsp;2000 元，如果工作還在，每天都有&nbsp;2000 元啊！</p><p>開心的心情，一下就沒了！不能太愛比較，要知足常樂！</p><p>原來這就是愚癡，人在福中，不知福，身體健康比再多的錢都好！</p><p>如果工作下去，健康就沒了！</p>
2023-10-19,在K線圖下加4個值。。。,<p>K線圖下加 4 個值：便宜值，昂貴值，候選值，賣出值。</p>
2023-10-23,腰痛,<p>痛得不可思議，只有一個痛點，不斷向外擴散，再向內縮回，二個動作，會引起疼痛：</p><p>1. 彎腰</p><p>2. 用力踩</p><p>一開始懷疑是腎，可位置不對，痛的位置應該在膀光附近，另外，尿液好像變少了，懷疑膀胱發炎，不過，沒有吐，不舒服等症狀，確定為椎間盤突出。</p><p>腰部椎間盤經過長期使用，難免會磨損，磨損超過臨界點時，就會產生破裂、突出，椎間盤磨損是漸進式的，經歷多次受傷或突出後，椎間盤會漸漸脫水，高度會下降，甚至纖維環破裂、核髓液流出，形成骨刺、骨頭磨骨頭等現象，因此保養、姿勢調整是腰椎保健最重要課題。&nbsp;</p><p>椎間盤由兩層構造組成，外層纖維環和內層髓核，這兩層會緩衝外力衝擊，但，就像泡芙或橘子，一但受到過多外力，纖維環撐不住壓力，內餡就會爆裂，爆裂突出的髓核內有發炎物質，會造成周邊神經組織發炎，引起廣泛性腰痛、坐骨神經痛等症狀，慢性椎間盤突出只有一個痛點，不斷向外擴散，恢復過程中，痛的面積會向內縮回，彎腰或用力踩會引起疼痛，若是急性椎間盤突出，摸不到特別的痛點的，因為整片都超痛，嚴重者甚至可能要躺床坐輪椅。&nbsp;<br /><br />治療方式：急性期，多消炎，打消炎針，吃消炎藥，復健、放鬆肌肉，慢性期，注射增生物質、徒手治療和訓練核心肌群，對椎間盤最危險的外力方向，是前側拿重物＋脊椎前彎＋腰椎扭轉，如果常做這動作，椎間盤很快又會爆炸，椎間盤突出就像爆裂的橘子，會造成周邊嚴重發炎。</p>
2023-10-30,"""改變群組""優化",<p>變更群組太花時間，要改善。</p>
2023-10-31,光點選單要從資料檔讀取,"<p>光點選單要從資料檔讀取</p><p>如果，左測選單可以做成樹，會更好。</p><p>對了，要加一個root.csv</p><p>另外，要加子樹的 type, 比如 leaf, ?</p>"
2023-11-02,優化,<p>1. 增加個股筆記</p><p>2. 發送4月圖。</p><p>3. 發送4年圖。</p><p>4. 優化變更群組選單，只要改檔案內容，顯示就會變更。</p><p>5. 補齊便宜價和昂貴價，並修改判斷程式。</p>
2023-11-03,優化,<p>1. 群組移動改成可以一次多個（一次多筆移動群組）</p><p>2. 外資，自營商，。。。的資訊，有時想瞭解為何股市上漲，三大法人，是誰看好那些股票？</p><p>3. 股票的上漲程度排行榜。</p>
2023-11-04,勤修戒定慧，息滅貪瞋癡,<p>投資人看財經新聞，幾乎每天都會看到三大法人的新聞，像是「三大法人狂倒貨」、「台股淪為外資提款機」⋯</p><p>三大法人是什麼？</p><p>首先，我們要先了解法人是什麼？法人就是指「被法律承認的機構團體」，最常見的為公司組織、銀行、投資單位⋯等，所以法人指的不是「人」而是一個「團體」的代稱，並可以像自然人*一樣享有法律權利與義務。</p><p>在台灣股票市場中常聽到的三大法人，就是指用法人機構投資的人，主要分為 3 大類：外資、投信、自營商，由於他們的資金雄厚，且往往會比散戶早一步拿到消息，因此當他們一有動作，對於股市的影響就非常大， 所以三大法人買賣超數據，是許多人盤後特別關注的資訊之一。</p><p>※自然人：生物學上由母親受孕懷胎後生下的獨立個體，也就是像我們一樣的一般人。</p><p>外資</p><p>「外資」是指台灣以外的投資機構、投資人，外資從國外把錢換成台幣後，在台灣的證券交易所進行投資買賣。外資可以說是三大法人中最有錢的，通常偏好大型權值股（如台積電、鴻海、大立光等），非常重視公司價值、基本面、產業面及未來發展等，操作上以中長線為主。</p><p>由於外資資金龐大，當他們看好一檔股票，可能會需要分很多天買進，所以投資人如果要跟外資的單，可以觀察外資有「連續買進」的大型績優股。台股中常見的外資有：高盛、美林、摩根史坦利、瑞士信貸、港商麥格理等。</p><p>投信</p><p>「投信」是指國內的證券投資公司，也就是我們熟知的基金公司，募集投資人的錢代為操作。投信的銀彈沒有外資這麼多，但又有績效壓力，所以偏好股本小且具有題材面的中小型個股，這類型的股價比較容易被抬高。投信可以說是飆股製造機，他們往往會先在底部囤好股票，然後再開始放消息吸引散戶進入，隨著股價越炒越高，投信就能獲利出場，這時散戶反而被套在高點，這點需要特別留意。每到了季底或年底的時候，投信必須要交出成績單，這時他們往往會開始拉抬股票，為了讓自己能繳出好的績效，這也就是常聽到的「作帳行情」﹔反之，投信結帳的賣壓也要特別小心。</p><p>自營商</p><p>「自營商」是指證券公司自有的投資部門，用公司的錢去買賣股票，並找操盤手來幫公司賺錢。自營商在證交所公布的買賣數據分成「自行買賣」和「避險」，自行買賣即自營商普通買賣 ;自營商避險即以避險為主要目的，並非為了賺取價差。自營商是三大法人中操作最為多元的，除了股票之外還會操作期貨、選擇權等商品，通常是抱持著「有賺就跑」的策略，偏好股性活潑的中小型股，投資週期相對較短。由於每個操盤手的操作策略都不太相同，我們無法單靠買賣判斷是看好還是避險，因此對於一般投資人來說，自營商買賣超較難作為買賣參考。</p><p>買賣超？</p><p>買超：買進總量或金額大於賣出的總量或金額，通常代表看好後市的動能。</p><p>賣超：賣出總量或金額大於買進的總量或金額，通常代表看壞後市的動能。</p><p>透過三大法人買賣超，可以大概了解當天股市的表現，假設今天三大法人賣超三百億，那麼台股下跌的機率就很大，我們也能看出三大法人對於台股的信心不是很足，但要特別注意的是，三大法人買賣超是外資、投信和自營商買賣超加總起來的結果，可能有的機構是買、有的是賣，所以不代表所有法人的看法都一致。</p><p>三大法人如何影響股票市場？</p><p>三大法人的資金雄厚，因此當他們大舉買超股票，可能就會把股價拉得很高﹔反之，三大法人大量賣超股票，股價下跌機率也會變高，這也是為什麼許多投資人會藉由觀察三大法人的動態，來預測未來股價的漲跌，如果能跟著法人進出，散戶也有機會搭上他們的順風車。</p><p>以華通（2313）為例，投信從 9 月以來默默吃貨長達 19 天，這段時間華通的股價也跟著水漲船高，因此三大法人買賣超對於股價具有一定的影響力。</p><p>三大法人買賣超排行</p><p>三大法人買賣超資訊，在證券交易所官網都可以查詢得到，還可以選擇要看日報、週報還是月報，另外也能依據不同類別做查詢。</p><p>以為 9 月以來三大法人買賣超排行榜，可以看出，根據三大法人投資策略的不同，外資、投信和自營商的看法也不會完全相同，以新光金（2888）來說，外資 9 月以來買超 5 萬多張，但投信和自營商卻都站在賣方，總共賣超快 2 萬張，而這種情況就是我們常聽到的「土洋對作」。</p><p>※土洋對作：土是指本土的投信、自營商，洋則是指外資，雙方一個買一個賣。</p><p>總結</p><p>三大法人是在籌碼面上一定要認識的重要指標，學會觀察三大法人買賣超，就有機會挖掘到即將發動的潛力股，搭上賺錢的順風車，不過還是要提醒大家，雖然法人的資金龐大、對市場影響力大，但不代表他們一定穩賺不賠，因此法人的進出只能作為輔助參考，千萬別當作唯一的買賣依據喔！</p>
2023-11-05,市值排行，主力買賣超。。。,<p>1. 市值排行</p><p>2. 主力買賣超</p><p>3.&nbsp;群組移動</p><p>4. 歷史數據要可以選區間</p><p>5. 沒有全部的股票，要能新增</p><p>四個程式可以啟動了。。。</p>
2023-11-07,更新歷史要用另一個畫面,<p>更新歷史要用另一個畫面，畫面才不會不能做別的事。</p>
2023-11-10,優化更新歷史和notify,<p>1. 改進更新歷史和notify</p><p>2. 一律採用&nbsp;Ajax Post，先讀群組所有的 stocks，再依序更新。</p>
2023-11-11,月k線,<p>1. 加油！來完成月k線吧！</p><p>2. 拖地的工序</p><p>2.1 肥皂洗-&gt;已完成。</p><p>2.2 清水洗-&gt;明日吧！</p><p>2.3 局部處理</p>
